ITEM,X,Y,Z,ROTATION,ID
wall.corner.000,-4.0,1.0,0.0,0.0,100620
floor.01.000,-4.0,1.0,0.0,0.0,144918
floor.01.000,-4.0,0.0,0.0,0.0,642069
floor.01.000,-4.0,-1.0,0.0,0.0,955108
floor.01.000,-3.0,-1.0,0.0,0.0,428324
floor.01.000,-2.0,-1.0,0.0,0.0,541962
floor.01.000,-2.0,0.0,0.0,0.0,687134
floor.01.000,-2.0,1.0,0.0,0.0,895397
floor.01.000,-3.0,1.0,0.0,0.0,737366
floor.02.000,-3.0,0.0,0.0,0.0,474690
wall.001,-4.0,0.0,0.0,0.0,814731
wall.001,-3.0,1.0,0.0,-1.571,434191
wall.000,-4.0,-1.0,0.0,0.0,981846
wall.000,-2.0,1.0,0.0,-1.571,111163
window.001,-4.0,0.0,0.0,0.0,583136
window.001,-3.0,1.0,0.0,-1.571,598818
