ITEM,X,Y,Z,ROTATION
wall.corner.000,-3.0,2.0,0.0,0.0
floor.01.000,-3.0,2.0,0.0,0.0
floor.01.000,-3.0,1.0,0.0,0.0
floor.01.000,-3.0,0.0,0.0,0.0
floor.01.000,-3.0,-2.0,0.0,0.0
floor.01.000,-3.0,-1.0,0.0,0.0
floor.01.000,0.0,2.0,0.0,0.0
floor.01.000,-1.0,2.0,0.0,0.0
floor.02.000,-2.0,1.0,0.0,0.0
floor.02.000,-2.0,0.0,0.0,0.0
floor.02.000,-2.0,-1.0,0.0,0.0
floor.02.000,-1.0,-1.0,0.0,0.0
floor.02.000,-1.0,0.0,0.0,0.0
floor.02.000,-1.0,1.0,0.0,0.0
floor.01.000,-2.0,2.0,0.0,0.0
wall.000,-2.0,2.0,0.0,-1.571
wall.000,-1.0,2.0,0.0,-1.571
wall.000,0.0,2.0,0.0,-1.571
furniture.table.000,-1.0,0.0,0.0,-1.571
furniture.chair.000,0.0,-1.0,0.0,-3.142
furniture.chair.000,0.0,0.0,0.0,-3.142
furniture.chair.000,-2.0,-1.0,0.0,0.0
furniture.chair.000,-2.0,0.0,0.0,0.0
floor.02.000,0.0,-1.0,0.0,0.0
floor.02.000,0.0,0.0,0.0,0.0
floor.01.000,1.0,2.0,0.0,0.0
floor.01.000,1.0,1.0,0.0,0.0
floor.01.000,1.0,0.0,0.0,0.0
floor.01.000,1.0,-1.0,0.0,0.0
floor.01.000,1.0,-2.0,0.0,0.0
wall.000,1.0,2.0,0.0,-1.571
furniture.fridge.000,-2.0,2.0,0.0,-1.571
window.001,-3.0,1.0,0.0,0.0
wall.001,-3.0,1.0,0.0,0.0
furniture.oven.000,-3.0,1.0,0.0,0.0
wall.000,-3.0,0.0,0.0,0.0
wall.000,-3.0,-1.0,0.0,0.0
wall.000,-3.0,-2.0,0.0,0.0
floor.02.000,0.0,1.0,0.0,0.0
floor.02.000,0.0,-2.0,0.0,0.0
floor.02.000,-1.0,-2.0,0.0,0.0
floor.02.000,-2.0,-2.0,0.0,0.0
wall.seperator.single.solid.002,1.0,2.0,0.0,-1.571
wall.seperator.single.solid.002,1.0,0.0,0.0,-1.571
wall.seperator.single.solid.002,1.0,-1.0,0.0,-1.571
wall.seperator.single.solid.002,1.0,-1.0,0.0,-1.571
wall.seperator.single.solid.002,1.0,-2.0,0.0,-1.571
wall.seperator.single.door.002,1.0,1.0,0.0,-1.571
door.interior.002,2.0,1.0,0.0,1.571
wall.seperator.single.solid.002,-3.0,-2.0,0.0,-3.142
wall.seperator.single.solid.002,-2.0,-2.0,0.0,-3.142
wall.seperator.single.solid.002,-1.0,-2.0,0.0,-3.142
wall.seperator.single.solid.002,0.0,-2.0,0.0,-3.142
wall.seperator.single.solid.002,1.0,-2.0,0.0,-3.142
