ITEM,X,Y,Z,ROTATION
floor.05.008,-3.0,-1.0,0.0,0.0
floor.05.008,-2.0,-1.0,0.0,0.0
floor.05.008,-1.0,-1.0,0.0,0.0
floor.05.008,0.0,-1.0,0.0,0.0
floor.05.008,1.0,-1.0,0.0,0.0
floor.05.008,1.0,0.0,0.0,0.0
floor.05.008,1.0,1.0,0.0,0.0
floor.05.008,1.0,2.0,0.0,0.0
floor.05.008,0.0,2.0,0.0,0.0
floor.05.008,-1.0,2.0,0.0,0.0
floor.05.008,-2.0,2.0,0.0,0.0
floor.05.008,-3.0,2.0,0.0,0.0
floor.05.008,-3.0,1.0,0.0,0.0
floor.05.008,-3.0,0.0,0.0,0.0
floor.05.008,-2.0,0.0,0.0,0.0
floor.05.008,-2.0,1.0,0.0,0.0
floor.05.008,-1.0,1.0,0.0,0.0
floor.05.008,-1.0,0.0,0.0,0.0
floor.05.008,0.0,0.0,0.0,0.0
floor.05.008,0.0,1.0,0.0,0.0
wall.corner.000,-3.0,2.0,0.0,0.0
wall.001,-3.0,0.0,0.0,0.0
wall.000,-3.0,1.0,0.0,0.0
wall.000,-3.0,-1.0,0.0,0.0
wall.000,-1.0,2.0,0.0,-1.571
wall.000,0.0,2.0,0.0,-1.571
wall.000,1.0,2.0,0.0,-1.571
furniture.oven.000,-3.0,0.0,0.0,0.0
furniture.fridge.000,-3.0,-1.0,0.0,0.0
furniture.table.000,-1.0,0.0,0.0,0.0
furniture.chair.000,-1.0,-1.0,0.0,1.571
furniture.chair.000,0.0,-1.0,0.0,1.571
furniture.chair.000,-1.0,1.0,0.0,-1.571
furniture.chair.000,0.0,1.0,0.0,-1.571
wall.001,-2.0,2.0,0.0,-1.571
window.001,-2.0,2.0,0.0,-1.571
window.001,-3.0,0.0,0.0,0.0
