ITEM,X,Y,Z,ROTATION,ID
floor.02.000,-3.0,1.0,0.0,0.0,998520
floor.02.000,-2.0,1.0,0.0,0.0,867840
floor.02.000,-1.0,1.0,0.0,0.0,266572
floor.02.000,0.0,1.0,0.0,0.0,752649
floor.02.000,0.0,0.0,0.0,0.0,153980
floor.02.000,0.0,-1.0,0.0,0.0,781431
floor.02.000,-1.0,-1.0,0.0,0.0,358433
floor.02.000,-2.0,-1.0,0.0,0.0,691302
floor.02.000,-3.0,-1.0,0.0,0.0,140389
floor.02.000,-3.0,0.0,0.0,0.0,372067
floor.01.000,-2.0,0.0,0.0,0.0,429937
floor.01.000,-1.0,0.0,0.0,0.0,407178
stairs.001,-3.0,1.0,0.0,0.0,358496
wall.000,-3.0,1.0,0.0,-1.571,231222
wall.000,-2.0,1.0,0.0,-1.571,569836
wall.000,-1.0,1.0,0.0,-1.571,135604
wall.000,0.0,1.0,0.0,-1.571,127736
